firstName,phoneNumber,note
David eMiller,4321098765,Requested a quote
Sarah eDavis,3210987654,Met at networking event
James eGarcia,2109876543,Needs more information
Olivia eMartinez,1098765432,Follow-up in two days
William eLopez,9988776655,Interested in premium package
Sophia eHarris,8877665544,Cold call lead
Daniel eClark,7766554433,Referred by existing customer
Ava eRodriguez,6655443322,Downloaded whitepaper
Matthew eLewis,5544332211,Contacted via live chat
Isabella eWalker,4433221100,Asked about pricing options
Ethan eHall,3322110099,Attended webinar
Mia eAllen,2211009988,Requested a product sample
Benjamin eYoung,1100998877,Needs a callback
Charlotte eKing,9099887766,Expressed urgency
Jack eWright,8088776655,Looking for bulk order pricing
Harper eScott,7077665544,Has questions about features
Henry eGreen,6066554433,Potential business partnership
Amelia eAdams,5055443322,Referred by social media campaign
Lucas eBaker,4044332211,Interested in long-term contract
Evelyn eNelson,3033221100,Left a voicemail
Alexander eCarter,2022110099,Looking for reseller opportunities
Ella eMitchell,1011009988,Asked about refund policy
Mason ePerez,9009998877,Returning customer
Scarlett eRoberts,8111887766,Needs urgent support
Liam ePhillips,7222776655,Considering competitors
